Number,Canonical SMILES,Toxicity Value,Category
226,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,1229.991383,0
227,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,72.00779638,0
228,O=C(O)c1ccncc1,435.9964582,0
229,O=[N+]([O-])OC1COC2C(O)COC12,1810.009468,0
230,CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,147.7566517,0
231,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,636.8627177,0
232,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,1036.469342,0
233,CNC1(c2ccccc2Cl)CCCCC1=O,271.7484487,0
234,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,29100.25503,1
235,NC(Cc1ccc(O)c(O)c1)C(=O)O,557.0680093,0
236,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,805.0601451,0
237,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,920.0702685,0
238,O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,435.0501148,0
239,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,26.99876453,-1
240,CNC1(C)C2CCC(C2)C1(C)C,26.07587438,-1
241,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,624.907279,0
242,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,25.99957407,-1
243,Cc1cccc(C)c1NC(=O)C1CCCCN1C,116.9981004,0
244,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,3199.618599,1
245,CN1CC(CNC(=O)OCc2ccccc2)CC2c3cccc4c3c(cn4C)CC21,84.99452322,0
246,CN(C)CCN(Cc1cccs1)c1ccccn1,85.43816963,0
247,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,149.5926492,0
248,CC(=O)OC1CCC2C3CCC4CC(=O)C=C(C)C4(C)C3CCC12C,2000.029029,1
249,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,77.31082129,0
250,COc1ccc(OC)c(C(O)C(C)N)c1,79.67396004,0
251,C[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,150.0032978,0
252,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,400.0555447,0
253,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)C3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1C(C2)[N+](C)(C)CC3,0.766186952,-1
254,CSc1nnc(C(C)(C)C)c(=O)n1N,209.99608,0
255,CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC,69.99249751,0
256,OC(CBr)C(O)C(O)C(O)CBr,648.1081786,0
257,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,590.9912036,0
258,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,76.89328124,0
259,CC(=O)N(C)C,2799.935724,1
260,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,269.9947642,0
261,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,195.9993055,0
262,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,274.9990225,0
263,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,303.0285874,0
264,CN(CCCl)CCCl,2.722611753,-1
265,CCN(CC)N=O,132.0038772,0
266,CN1Cc2c(N)cccc2C(c2ccccc2)C1,118.2981879,0
267,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1063.980009,0
268,O=C(O)c1ccccc1Nc1ccccc1,234.9933876,0
269,Oc1ccccc1Br,633.0036586,0
270,Clc1ccccc1Cl,1227.966587,0
271,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,119.9983494,0
272,O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,7926.668922,1
273,Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,594.9528586,0
274,C=CCOc1ccccc1OCC(O)CNC(C)C,149.5196642,0
275,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,129.9792425,0
276,Nc1ccc(Cc2ccc(N)cc2)cc1,73.996641,0
277,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,0.120005237,-1
278,CC(C)(CO)C(O)C(=O)NCCC(=O)O,1442.953925,0
279,Nc1ccc(O)cc1,750.0137445,0
280,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,19.99914096,-1
281,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,835.1185301,0
